sku,ean,descrizione,marchio,categoria1,categoria2,categoria3,prezzo_vendita,prezzo_pubblico,link_icecat,thumb_url,scheda_tecnica_presente
378454,8806095536521,RB53DG703DS9EF COMBI 538LT CE.D L.75CM NOFROST WIFI METAL INOX,SAMSUNG,GED REFRIGERAZIONE,FRIGO COMBINATI,NO FROST,861.34,1199.0,,,NO
378468,4242005394494,PXV831HC1E P.COTT.INDUZ.80CM 5ZONE BRIDGE NERO,BOSCH,GED INCASSO,PIANI COTTURA,INDUZIONE,757.1,999.0,,,NO
378546,4002516806332,WEK375WPS LAV.C/FRONT 10KG 1400GIRI CE.A INV VAPORE WIFI,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 10 A 10,99 KG",1112.43,1499.0,,,NO
378668,8690842549496,HII64200SFMT P.COTT.INDUZ.60CM 4ZONE 1INDYFLEX NERO,BEKO,GED INCASSO,PIANI COTTURA,INDUZIONE,223.05,299.0,,,NO
378703,8690842627743,BCSA285K4SN1 COMBI INC. 271LT H.177.5CM CE.E STATICO INVERTER,BEKO,GED INCASSO,FRIGORIFERI,COMBINATI,359.9,449.0,,,NO
378704,8690842609008,BDIN38560C LAVAST.SC/TOT.60CM 15COP CE.A 8PROG. 3CESTO INV.,BEKO,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,461.06,599.0,,,NO
378869,8435484015875,1587 FORNO M/O 20LT 700W 6LIV.POT. 3DWAVE BIANCO,CECOTEC,GED COTTURA,FORNI MICROONDE,SOLO MICROONDE,56.84,64.9,,,NO
379236,6921727083449,HBI54250E COMBI INC.252LT H178CM CE.E NOFROST INV CONV.ZONE,HISENSE,GED INCASSO,FRIGORIFERI,COMBINATI,474.24,599.0,,,NO
379249,753759326593,"0100286320 SMART WATCH 1.2"" FORERUNNER 165 BLACK",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,197.91,219.9,,,NO
379250,753759326609,"0100286321 SMART WATCH 1.2"" FORERUNNER 165 WHITE",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,197.91,219.9,,,NO
379486,4002516788485,H2456BACTIVE FORNO 60CM 76LT MULTIF. NERO,MIELE,GED INCASSO,FORNI,ELETTR. MULTIFUNZ.,607.87,859.0,,,NO
379489,4002516780229,H27661B125EDITION FORNO 60CM 76LT MULTIF. AIRFRY WIFI NERO,MIELE,GED INCASSO,FORNI,ELETTR. MULTIFUNZ.,775.12,1199.0,,,NO
379495,4002516798316,KM7221FR P.COTT.INDUZ.60CM 4ZONE TOUCH VETROCER.NERO,MIELE,GED INCASSO,PIANI COTTURA,INDUZIONE,580.0,899.0,,,NO
379496,4002516772415,KM7466FR125EDITION P.COTT.INDUZ.60CM 4ZONE 1BRIDGE VET,MIELE,GED INCASSO,PIANI COTTURA,INDUZIONE,760.06,1179.0,,,NO
379500,4002516761471,WEB685WCS LAV.C/FRONT 8KG 1400GIRI CE.A-10% WIFI TWINDOS,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 8 A 8,99 KG",920.87,1099.0,,,NO
379501,4002516767480,WEI885WCS LAV.C/FRONT 9KG 1600GIRI CE.A WIFI TWINDOS VAP.,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 9 A 9,99 KG",1205.72,1799.0,,,NO
379688,4002516748441,G7293SCVIEXCELLENCE LAVAST.SC/TOT.60CM 14COP CE.A 3CEST,MIELE,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,1033.3,1599.0,,,NO
379808,8057971108992,AMN965EXV24 CUCINA 90X60CM 5F/GAS F.EL.MULTI11 AMERICANA INOX,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 90 A 99 CM,676.32,949.0,,,NO
379809,8057971109005,AMN965GXV24 CUCINA 90X60CM 5F/GAS F.GAS VENT. AMERICANA INOX,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO A GAS,DA 90 A 99 CM,701.57,949.0,,,NO
379964,4002516770510,TEL685WP ASCIUG.C/FRONT 9KG CE.C INVERTER VAPORE WIFI,MIELE,GED LAVAGGIO,ASCIUGATRICI,"DA 9 A 9,99 KG",1206.95,1799.0,,,NO
380033,8690842603983,BDIN38440 LAVAST.SC/TOT.60CM 14COP CE.C 8PROG. INVERTER,BEKO,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,335.71,449.0,,,NO
380600,6921081504550,HW150BP14986EIT LAV.C/FRONT 15KG 1400GIRI CE.A DISP.LED INVERT ABT,HAIER,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,12 KG E OLTRE,798.59,1099.0,,,NO
381379,8690842619793,BLSA210M4SN FRIGO 1P.INC. 198LT H.121.5CM CE.E STATICO,BEKO,GED INCASSO,FRIGORIFERI,MONOPORTA,291.93,379.0,,,NO
381645,8057971106936,SE965EX24 CUCINA 90CM 5F/GAS F.ELETT.MULTI INOX,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 90 A 99 CM,609.01,799.0,,,NO
381646,8057971106905,SE965GX24 CUCINA 90CM 5F/GAS F.GAS VENT. INOX,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO A GAS,DA 90 A 99 CM,609.01,799.0,,,NO
381754,753759279882,"0100264111 SMART WATCH 1.2"" FORERUNNER 255 BASIC TIDAL BLUE",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,251.33,279.9,,,NO
382264,8057971108923,AMN664EXV24 CUCINA 60CM 4F/GAS F.ELETT.MULTI.5 AMERICANA INOX,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 60 A 69 CM,515.94,699.0,,,NO
382265,8057971108978,AMN664GXV24 CUCINA 60CM 4F/GAS F.GAS VENT. AMERICANA INOX,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO A GAS,DA 60 A 69 CM,515.94,699.0,,,NO
382266,8057971106950,SE664EB24 CUCINA 60CM 4F/GAS F.ELETT.MULTI BIANCO,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 60 A 69 CM,354.89,499.0,,,NO
382268,8057971106981,SE664GB24 CUCINA 60CM 4F/GAS F.GAS VENT. BIANCO,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO A GAS,DA 60 A 69 CM,354.89,499.0,,,NO
382269,8057971106912,SE965ENE24 CUCINA 90CM 5F/GAS F.ELETT.MULTI NERO,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO ELETTRICO,DA 90 A 99 CM,609.01,799.0,,,NO
382270,8057971106899,SE965GNE24 CUCINA 90CM 5F/GAS F.GAS VENT. NERO,BERTAZZONI LA GERMANIA,GED COTTURA,CUCINE CON FORNO A GAS,DA 90 A 99 CM,609.01,799.0,,,NO
382314,6921081599822,HD90A3Q397U1S ASCIUG.C/FRONT 9KG CE.C INVERTER WIFI,HAIER,GED LAVAGGIO,ASCIUGATRICI,"DA 9 A 9,99 KG",1221.96,1599.0,,,NO
382409,3838782757099,HI6401BSCE P.COTT.INDUZ.60CM 4ZONE TOUCH VETROCER.NERO,HISENSE,GED INCASSO,PIANI COTTURA,INDUZIONE,174.72,229.0,,,NO
382636,6901018083211,HCR3818EWMM FRIGO 4P. 463LT CE.E NOFROST DISP.BEV INV. INOX,HAIER,GED REFRIGERAZIONE,FRIGO 3 PORTE/OLTRE,NO FROST,655.61,899.0,,,NO
382876,8003437057045,FFBR9629BSVIT LAV.C/FRONT 9KG 1200GIRI CE.A INVERTER VAPORE,WHIRLPOOL,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 9 A 9,99 KG",330.09,449.0,,,NO
